Hole_ID,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
836649,183,0.29,0.84,0.24,S4,sr,Tr,0.339,1.11,0.284,0.055,S4,0.806338028
836650,247,0.15,0.97,0.1,S4,sr,Tr,6.097,1.77,5.572,0.525,S4,0.905778894
836652,206,0.14,0.88,0.09,S4,sr,Tr,0.247,1.01,0.193,0.054,S4,0.720207254
836653,208,0.61,0.89,0.09,S4,sr,Tr,0.3,0.39,0.264,0.036,S4,0.863636364
836654,237,0.43,1.07,0.11,S4,sr,Tr,1.985,0.38,1.798,0.187,S4,0.895995551
836655,245,0.4,1.06,0.1,S4,fr,Fr,1.71,0.5,1.524,0.186,S4,0.877952756
836656,286,0.67,1.97,0.29,S4,fr,Fr,1.871,0.44,1.682,0.189,S4,0.887633769
836657,242,0.15,0.94,0.22,S4,fr,Fr,0.25,0.75,0.197,0.053,S4,0.730964467
836658,265,0.51,1.36,0.13,S4,fr,Fr,2.892,0.97,2.572,0.32,S4,0.875583204
836659,267,0.54,1.12,0.23,S4,fr,Fr,0.331,0.62,0.283,0.048,S4,0.830388693
836660,190,0.46,0.98,0.1,S4,fr,Fr,0.334,0.49,0.288,0.046,S4,0.840277778
836665,348,0.22,1.36,0.35,S4,fr,Fr,0.611,0.08,0.495,0.116,S4,0.765656566
836667,182,0.43,1.14,0.11,I2,sp,Ox,0.124,0.08,0.104,0.02,I2,0.807692308
836693,206,0.49,0.74,0.16,S3,sp,Ox,0.154,0.34,0.122,0.032,S4,0.737704918
